0,3,"[2.8423275146484372, -9.425347167968749, 2.1253116455078125]","[6.0272216796875, -23.162841796875, 3.662109375]"
0.1,3,"[2.2905006103515624, -9.73178466796875, 2.321623168945312]","[11.1846923828125, -24.4903564453125, -1.6632080078125]"
0.2,3,"[2.6699564208984374, -8.3360576171875, 2.383868286132812]","[5.950927734375, -12.420654296875, -0.9613037109375]"
0.3,3,"[3.6275736083984373, -9.118311157226561, 2.2821214599609374]","[5.2642822265625, -26.824951171875, 1.7242431640625]"
0.4,3,"[3.3085673828124995, -8.996214965820311, 1.5794698486328123]","[10.009765625, -39.7186279296875, 0.8544921875]"
0.5,3,"[3.1816831054687498, -9.196716064453124, 1.52500537109375]","[10.345458984375, -28.4271240234375, 5.828857421875]"
0.6,3,"[2.4838195800781246, -7.092950805664062, -0.37107666015624996]","[9.124755859375, -26.06201171875, 6.011962890625]"
0.7,3,"[3.0571928710937497, -9.273923950195313, 0.6188601074218749]","[10.2081298828125, -25.5126953125, 5.9356689453125]"
0.8,3,"[2.5011763916015624, -9.193124999999998, 0.7086367187499999]","[10.6048583984375, -24.35302734375, 2.1209716796875]"
0.9,3,"[2.744171752929687, -9.643205078125, 0.817565673828125]","[6.40869140625, -14.83154296875, 4.058837890625]"
1,3,"[2.6382353515625, -10.064556640625, 1.9319926757812498]","[7.26318359375, -12.603759765625, 3.875732421875]"
1.1,3,"[3.014698608398437, -9.767695312499999, 0.0772078857421875]","[1.708984375, -3.7689208984375, 3.72314453125]"
1.2,3,"[1.8745356445312498, -9.635424438476562, 0.9528291015624999]","[2.38037109375, -6.011962890625, -2.9449462890625]"
1.3,3,"[2.17139697265625, -9.437317382812498, 0.9384648437499999]","[-1.6021728515625, -0.1068115234375, -4.8980712890625]"
1.4,3,"[2.962029663085937, -9.388838012695311, 1.023453369140625]","[3.1890869140625, -0.18310546875, -5.31005859375]"
1.5,3,"[2.6879117431640625, -9.379860351562499, 1.310738525390625]","[0.0457763671875, -7.781982421875, -4.5166015625]"
1.6,3,"[3.649119995117187, -9.357715454101562, 1.3179206542968749]","[7.5531005859375, -7.9193115234375, -1.312255859375]"
1.7,3,"[3.343281005859375, -9.438514404296875, 1.2419097900390623]","[2.960205078125, -5.126953125, 2.74658203125]"
1.8,3,"[2.5454661865234374, -9.269135864257812, 1.1443525390625]","[2.716064453125, -0.1373291015625, 0.3662109375]"
1.9,3,"[3.0817318115234373, -8.557506591796875, 0.75412353515625]","[1.739501953125, -5.2337646484375, 1.0833740234375]"
2,3,"[3.148765014648437, -9.563603149414062, 1.2730323486328123]","[6.8817138671875, -6.53076171875, -2.349853515625]"
2.1,3,"[2.165411865234375, -9.566595703125, 1.465154296875]","[3.9825439453125, -0.335693359375, -0.152587890625]"
2.2,3,"[2.26715869140625, -9.429536743164062, 1.9230150146484373]","[0.0, -0.3814697265625, -0.4425048828125]"
2.3,3,"[2.638833862304687, -9.307440551757812, 1.9463569335937498]","[3.509521484375, -6.4697265625, -2.410888671875]"
2.4,3,"[2.67414599609375, -9.2840986328125, 1.5710906982421873]","[3.082275390625, -4.9591064453125, -6.6680908203125]"
2.5,3,"[3.1697128906249996, -9.269135864257812, 1.9200224609374998]","[3.8604736328125, -6.8359375, -3.1890869140625]"
2.6,3,"[2.7387851562499996, -9.264347778320312, 2.6669638671874996]","[1.556396484375, 5.6610107421875, 1.922607421875]"
2.7,3,"[2.443120849609375, -9.530086547851562, 2.5807783203124997]","[1.953125, 28.3660888671875, 5.0811767578125]"
2.8,3,"[2.3006752929687497, -9.801211914062499, 2.7639226074218746]","[1.9378662109375, 12.5274658203125, 10.0555419921875]"
2.9,3,"[1.6171760253906249, -8.598803833007812, 2.365314453125]","[4.2266845703125, 5.67626953125, 5.584716796875]"
3,3,"[2.3796787109374997, -9.616272094726561, 2.0457097167968747]","[1.312255859375, 3.0975341796875, 4.9896240234375]"
3.1,3,"[2.517336181640625, -10.159121337890625, 1.8793237304687498]","[2.899169921875, -1.8157958984375, 9.9334716796875]"
3.2,3,"[1.3550283203125, -9.72699658203125, 3.6449304199218746]","[12.3291015625, -7.354736328125, 10.6658935546875]"
3.3,3,"[1.3328834228515625, -8.623941284179686, 1.0180667724609374]","[3.8604736328125, 4.9896240234375, 7.415771484375]"
3.4,3,"[0.23222216796874998, -8.96090283203125, 1.7721903076171874]","[-0.9918212890625, 10.4217529296875, 5.6915283203125]"
3.5,3,"[-0.32379431152343746, -9.69347998046875, 3.913661743164062]","[3.387451171875, 9.490966796875, -2.960205078125]"
3.6,3,"[0.6577633056640625, -9.570785278320312, 3.023077758789062]","[1.8157958984375, 6.195068359375, -5.615234375]"
3.7,3,"[1.2341291503906249, -8.81247216796875, 2.8602828369140623]","[3.8909912109375, 8.4228515625, -5.6915283203125]"
3.8,3,"[0.688287353515625, -10.241117309570312, 2.3264112548828124]","[4.730224609375, -10.955810546875, -0.4119873046875]"
3.9,3,"[1.1946274414062499, -8.281593139648436, 2.1055607910156247]","[7.7972412109375, -4.8370361328125, 2.8076171875]"
4,3,"[1.9278031005859373, -6.9636724853515615, 5.070583007812499]","[6.805419921875, -4.1351318359375, 3.47900390625]"
4.1,3,"[1.1485421142578125, -10.193236450195311, 8.018248413085937]","[0.335693359375, -3.0670166015625, 11.3677978515625]"
4.2,3,"[0.6751201171875, -9.862858520507812, 1.7045585937499999]","[-3.1585693359375, 8.1939697265625, 8.60595703125]"
4.3,3,"[-0.31361962890624995, -7.9500181884765615, -0.33576452636718745]","[2.13623046875, 7.50732421875, 7.50732421875]"
4.4,3,"[-0.499157958984375, -10.244708374023437, 1.4268496093749998]","[1.068115234375, 0.8544921875, -1.89208984375]"
4.5,3,"[-1.6692464599609373, -9.599513793945311, 3.835855346679687]","[-2.349853515625, -15.2435302734375, -3.4027099609375]"
4.6,3,"[0.8810078124999999, -9.885003417968749, 10.174084106445312]","[7.62939453125, -18.4326171875, -7.080078125]"
4.7,3,"[0.7218039550781249, -10.07173876953125, -3.4773474121093746]","[13.0767822265625, -17.5018310546875, -3.265380859375]"
4.8,3,"[-0.23282067871093748, -7.233002319335937, 6.083861694335937]","[0.7476806640625, -12.2528076171875, -6.072998046875]"
4.9,3,"[0.8433016357421874, -9.133872436523436, 6.6309005126953116]","[5.2490234375, -19.073486328125, -8.026123046875]"
5,3,"[2.179177612304687, -8.516209350585937, 5.447644775390625]","[3.0364990234375, -22.5067138671875, -4.9591064453125]"
5.1,3,"[0.15680981445312497, -7.928471801757812, 0.48180114746093744]","[1.0986328125, -9.5672607421875, 2.38037109375]"
5.2,3,"[0.7212054443359375, -9.729989135742187, 14.72097021484375]","[-20.5230712890625, 3.6163330078125, 4.364013671875]"
5.3,3,"[1.1892408447265623, -10.1651064453125, -16.696654174804685]","[-2.0599365234375, -18.0511474609375, 10.6048583984375]"
5.4,3,"[-0.18434130859374998, -11.150853637695311, 0.6823022460937499]","[-1.3427734375, 11.1236572265625, 2.197265625]"
5.5,3,"[1.0707357177734373, -6.7176845703125, 16.117295776367186]","[6.34765625, -14.9383544921875, 0.4730224609375]"
5.6,3,"[3.202630981445312, -4.9197583007812495, 5.710390991210937]","[6.103515625, -17.0440673828125, -3.143310546875]"
