0,1,"[0.44708752441406246, -8.91781005859375, 3.5473731689453123]","[3.1585693359375, 11.3677978515625, 4.180908203125]"
0.1,1,"[0.3178092041015625, -8.79092578125, 3.067966064453125]","[-1.1749267578125, 22.369384765625, 7.7972412109375]"
0.2,1,"[-0.54344775390625, -8.90823388671875, 2.2366346435546873]","[-0.152587890625, 12.481689453125, 9.33837890625]"
0.3,1,"[0.21187280273437498, -9.087787109374998, 2.6974879150390625]","[-5.92041015625, 11.016845703125, 9.185791015625]"
0.4,1,"[0.036509155273437496, -8.951925170898436, 2.3317978515625]","[-8.697509765625, 4.1656494140625, 17.059326171875]"
0.5,1,"[-0.6912799072265624, -9.331979492187498, 0.9312827148437499]","[-8.331298828125, -0.9918212890625, 10.833740234375]"
0.6,1,"[-1.1922333984375, -9.214072875976562, 0.8648480224609374]","[-6.3323974609375, -7.0037841796875, 9.2620849609375]"
0.7,1,"[-0.7774654541015624, -9.3990126953125, 1.3400655517578124]","[-1.129150390625, -5.1422119140625, 4.7760009765625]"
0.8,1,"[-1.0240518798828124, -9.301455444335936, 0.9163199462890624]","[2.3956298828125, -7.4462890625, 5.2337646484375]"
0.9,1,"[-1.4627602539062499, -9.285894165039062, 0.391426025390625]","[4.669189453125, -5.096435546875, 6.0577392578125]"
1,1,"[-0.6667409667968749, -9.259559692382812, 0.8151716308593749]","[9.490966796875, -3.082275390625, 3.4332275390625]"
1.1,1,"[-0.8349224853515624, -9.159009887695312, 1.07253125]","[12.237548828125, -8.0413818359375, 0.8544921875]"
1.2,1,"[-0.3112255859375, -9.072824340820311, 1.9720928955078123]","[15.0299072265625, -0.6256103515625, 2.4871826171875]"
1.3,1,"[-0.187932373046875, -9.221853515625, 2.3635189208984375]","[14.3890380859375, -0.3662109375, -1.190185546875]"
1.4,1,"[-0.13885449218749998, -9.101552856445311, 2.6603802490234374]","[11.3067626953125, -16.0675048828125, 1.708984375]"
1.5,1,"[-0.1741666259765625, -9.005791137695311, 2.6663653564453123]","[9.5367431640625, -15.2130126953125, 1.434326171875]"
1.6,1,"[-0.0383046875, -8.8627470703125, 3.700591918945312]","[6.866455078125, -15.2740478515625, 1.40380859375]"
1.7,1,"[0.37885729980468746, -9.148835205078123, 3.640142333984375]","[7.9345703125, -6.256103515625, -0.396728515625]"
1.8,1,"[-0.1466351318359375, -8.560499145507812, 3.2140026855468746]","[8.4228515625, -20.233154296875, 3.265380859375]"
1.9,1,"[-0.180750244140625, -8.480897216796874, 2.6747445068359372]","[7.9803466796875, -30.609130859375, 1.2054443359375]"
2,1,"[0.6003062744140625, -9.206292236328125, 3.5192431640624995]","[10.3912353515625, -23.773193359375, 1.8310546875]"
2.1,1,"[-0.17955322265624998, -8.971676025390623, 1.4029091796875]","[10.7879638671875, -11.3067626953125, -2.38037109375]"
2.2,1,"[1.21856787109375, -6.720677124023437, 5.229786865234375]","[13.6566162109375, -24.5208740234375, 0.6866455078125]"
2.3,1,"[1.0372191162109374, -8.694565551757812, 4.02438623046875]","[9.918212890625, -63.079833984375, 3.7994384765625]"
