0,1,"[-0.0113717041015625, -10.1746826171875, 1.7883500976562499]","[2.8839111328125, -3.7994384765625, -103.179931640625]"
0.1,1,"[1.3604149169921873, -6.430399414062499, 4.368529907226562]","[1.6021728515625, -44.2657470703125, -3.753662109375]"
0.2,1,"[0.19032641601562497, -12.201838500976562, 5.125645996093749]","[9.1552734375, -5.828857421875, 6.4849853515625]"
0.3,1,"[2.478432983398437, -7.5980938720703115, 3.437845703125]","[3.662109375, -2.62451171875, 4.7454833984375]"
0.4,1,"[-0.11730810546874999, -7.117489746093749, 1.7644096679687498]","[-2.9754638671875, 8.1329345703125, 4.241943359375]"
0.5,1,"[-1.0043010253906248, -7.291057861328125, 4.707885498046875]","[-2.410888671875, 29.1748046875, -3.0364990234375]"
0.6,1,"[2.4425223388671875, -14.40495654296875, 4.920356811523437]","[7.3089599609375, -32.3638916015625, 2.777099609375]"
0.7,1,"[0.51950732421875, -7.258139770507812, 1.5944326171874998]","[0.885009765625, 28.045654296875, 1.5869140625]"
0.8,1,"[2.7740972900390624, -4.911977661132812, 4.232069458007812]","[-6.591796875, -59.63134765625, 6.9580078125]"
0.9,1,"[-1.2323336181640625, -10.626558227539062, 0.5320760498046875]","[-0.9765625, 26.1077880859375, 2.13623046875]"
1,1,"[0.86424951171875, -8.964493896484374, 1.6333358154296873]","[6.28662109375, -0.5340576171875, 2.44140625]"
1.1,1,"[-0.26334472656249996, -11.244221313476562, 2.81300048828125]","[3.814697265625, 22.216796875, -2.899169921875]"
1.2,1,"[-0.6745216064453124, -6.693145629882812, 4.522945678710937]","[1.8463134765625, 42.327880859375, -2.7313232421875]"
1.3,1,"[1.4573736572265623, -13.820211547851562, 4.767138061523437]","[2.44140625, -7.87353515625, -11.65771484375]"
1.4,1,"[1.3514372558593748, -9.676123168945312, 9.610286987304686]","[10.1470947265625, -21.1181640625, 0.9002685546875]"
1.5,1,"[-0.9600112304687499, -6.021018066406249, 4.670179321289062]","[5.1116943359375, 21.42333984375, -4.486083984375]"
1.6,1,"[0.5512283935546874, -9.673729125976562, 7.104322509765624]","[11.1083984375, -68.023681640625, 0.030517578125]"
1.7,1,"[-0.3273853759765625, -7.750115600585937, -1.560916015625]","[-1.434326171875, 25.45166015625, -3.84521484375]"
1.8,1,"[-0.26334472656249996, -10.363213500976562, -0.8253463134765624]","[-6.988525390625, -10.833740234375, 12.451171875]"
1.9,1,"[-1.2598651123046873, -9.135667968749999, 4.618108886718749]","[-4.5166015625, 48.4771728515625, 8.331298828125]"
2,1,"[0.43152624511718746, -10.841423583984374, 1.9110447998046873]","[6.134033203125, 46.7529296875, -0.9307861328125]"
2.1,1,"[-0.9306842041015624, -7.413154052734375, 4.83357275390625]","[2.685546875, 26.092529296875, -13.763427734375]"
2.2,1,"[-0.7601086425781249, -11.720037353515623, -1.0222563476562498]","[7.7667236328125, 4.5318603515625, -15.350341796875]"
2.3,1,"[0.041297241210937495, -10.5481533203125, 6.1502963867187495]","[9.307861328125, -29.815673828125, -13.4735107421875]"
2.4,1,"[-0.39980517578124997, -11.37888623046875, 6.915791625976562]","[5.462646484375, -29.9224853515625, -7.232666015625]"
2.5,1,"[-1.6728375244140623, -10.317726684570312, 1.8607698974609372]","[5.3863525390625, -61.676025390625, -5.767822265625]"
2.6,1,"[1.4603662109375, -12.209619140625, 6.586012207031249]","[9.6588134765625, -6.5765380859375, -7.3089599609375]"
2.7,1,"[1.8541862792968749, -4.315860961914062, 3.5635329589843745]","[5.5694580078125, 2.166748046875, 4.913330078125]"
2.8,1,"[-0.7726773681640624, -9.017761352539061, 4.111170288085937]","[2.0294189453125, -14.3890380859375, 6.591796875]"
2.9,1,"[0.389031982421875, -8.077500976562499, 2.2893035888671873]","[5.462646484375, -2.7618408203125, -4.5928955078125]"
3,1,"[-0.769684814453125, -9.840115112304687, 0.49436987304687496]","[0.8087158203125, -9.429931640625, -0.30517578125]"
3.1,1,"[0.42673815917968744, -11.951062499999999, -0.7212054443359375]","[3.0364990234375, -8.2855224609375, -5.8441162109375]"
3.2,1,"[0.094564697265625, -8.330671020507811, 5.664904174804687]","[6.011962890625, -24.5513916015625, -6.3629150390625]"
3.3,1,"[-0.278906005859375, -7.822535400390624, 7.2611323242187495]","[11.0015869140625, -31.9671630859375, -4.8370361328125]"
3.4,1,"[0.9175169677734374, -9.030928588867187, 2.0923935546875]","[6.5765380859375, -15.533447265625, 3.7384033203125]"
3.5,1,"[0.3405526123046875, -9.330782470703124, 2.2731437988281247]","[2.197265625, 6.7138671875, 5.950927734375]"
3.6,1,"[1.5698936767578124, -9.387042480468748, -1.0934791259765624]","[-4.1656494140625, -7.8277587890625, 3.0975341796875]"
3.7,1,"[0.16459045410156248, -13.13072717285156, 3.172705444335937]","[7.2784423828125, 27.2216796875, -1.6326904296875]"
3.8,1,"[-0.8738256835937499, -9.956226196289062, -3.68443212890625]","[1.617431640625, -4.2724609375, -1.983642578125]"
3.9,1,"[-0.26454174804687497, -8.182240356445313, -4.204537963867187]","[1.068115234375, -24.993896484375, -0.762939453125]"
4,1,"[1.0515833740234375, -9.843107666015625, 2.48741064453125]","[-2.716064453125, -25.4058837890625, -1.9073486328125]"
4.1,1,"[0.9582156982421874, -8.27620654296875, 2.91833837890625]","[1.129150390625, -11.5203857421875, 3.7994384765625]"
4.2,1,"[1.0701372070312498, -8.127775878906249, -0.11192150878906248]","[5.0811767578125, -7.232666015625, -2.44140625]"
4.3,1,"[1.5734847412109374, -9.188935424804686, 2.24321826171875]","[-0.2593994140625, -4.7149658203125, 7.354736328125]"
4.4,1,"[-0.0383046875, -7.574751953124999, 3.279240356445312]","[0.8544921875, -26.336669921875, 1.4801025390625]"
