0,1,"[-1.7829635009765623, -9.005791137695311, 1.9331896972656248]","[-2.7008056640625, 33.416748046875, -6.65283203125]"
0.1,1,"[0.1334678955078125, -8.905241333007812, 2.622674072265625]","[-1.3885498046875, -2.593994140625, -0.823974609375]"
0.2,1,"[0.187932373046875, -10.67982568359375, 1.5339830322265624]","[6.7138671875, -25.8026123046875, -3.1890869140625]"
0.3,1,"[0.7924282226562499, -10.075928344726561, 4.352370117187499]","[1.617431640625, -4.5318603515625, 1.251220703125]"
0.4,1,"[-1.0264459228515623, -9.435521850585937, 2.517336181640625]","[0.7476806640625, -14.617919921875, 3.47900390625]"
0.5,1,"[0.6475886230468749, -10.190842407226562, 6.427406860351562]","[1.5106201171875, -5.706787109375, 1.9073486328125]"
0.6,1,"[1.0276429443359374, -10.083708984374999, 3.875357055664062]","[0.9613037109375, 20.3857421875, 1.03759765625]"
0.7,1,"[1.8954835205078124, -10.013683227539062, 4.825792114257812]","[0.9765625, 21.3775634765625, 0.30517578125]"
0.8,1,"[1.3831583251953123, -10.384759887695312, 2.162419311523437]","[2.4871826171875, 11.1083984375, 1.77001953125]"
0.9,1,"[-0.2914747314453125, -10.179470703124998, -2.339578491210937]","[1.46484375, 6.134033203125, -0.6866455078125]"
1,1,"[0.229828125, -9.234422241210936, 2.5089570312499996]","[0.30517578125, -3.2196044921875, -5.096435546875]"
1.1,1,"[0.7469414062499999, -11.608714355468749, 4.55586376953125]","[2.532958984375, -3.326416015625, -2.5177001953125]"
1.2,1,"[-0.45486816406249997, -9.44449951171875, 6.558480712890624]","[3.7689208984375, 5.7525634765625, 1.9989013671875]"
1.3,1,"[-2.3856638183593746, -8.586833618164063, 5.713383544921874]","[-3.1280517578125, 7.01904296875, 1.5869140625]"
1.4,1,"[-0.006583618164062499, -7.372455322265624, 3.0021298828124996]","[-5.2642822265625, -11.7340087890625, 1.3580322265625]"
1.5,1,"[-1.296374267578125, -7.760888793945312, -18.820170288085937]","[1.373291015625, -17.3492431640625, -2.1209716796875]"
1.6,1,"[-0.8576658935546875, -5.792386962890625, -8.98484326171875]","[-2.410888671875, 1.1138916015625, 2.5634765625]"
1.7,1,"[0.3537198486328125, -13.942307739257812, 8.666435546874999]","[3.9825439453125, -11.1083984375, -4.5318603515625]"
1.8,1,"[-1.5674996337890623, -8.856761962890625, 19.60960595703125]","[7.4920654296875, 20.9503173828125, -5.0201416015625]"
1.9,1,"[1.2694412841796874, -11.356741333007811, 2.1995269775390622]","[6.5460205078125, 19.5159912109375, 4.8828125]"
2,1,"[-0.8391120605468749, -10.33029541015625, -2.8279632568359374]","[-1.5716552734375, -1.7242431640625, -0.06103515625]"
2.1,1,"[-1.0156727294921875, -6.758383300781249, 7.337143188476562]","[1.6632080078125, 19.989013671875, 8.514404296875]"
2.2,1,"[0.04069873046875, -11.79544970703125, 11.494398803710936]","[0.79345703125, 50.689697265625, 5.9814453125]"
2.3,1,"[0.967193359375, -12.189868286132812, 1.621964111328125]","[7.62939453125, 29.571533203125, 2.01416015625]"
